Vehicle ID,Origin,Destination,Travel Time,Distance,Emissions,Avg Speed,Passengers,Completed
350,1483,1185,394.015,3707.83,6.89116,9.41038,5,Yes
351,1565,23,915.623,4015.69,6.82941,4.38574,4,Yes
352,1656,1561,48.3998,836.036,1.53209,17.2735,5,Yes
353,1781,32,1173.36,9995.77,16.6639,8.51893,3,Yes
354,1920,1708,941.617,7622.96,10.2267,8.0956,4,Yes
355,1688,1486,1459.29,11198.3,13.9407,7.6738,5,Yes
356,287,99,1145.87,8892.11,13.668,7.76015,2,Yes
357,290,1940,1166.06,10531.1,19.793,9.03136,5,Yes
358,1629,164,1741.32,12084.2,14.1619,6.93964,2,Yes
359,1856,1451,328.311,4476.55,6.93731,13.6351,2,Yes
360,278,1638,863.036,6097.06,6.28641,7.06466,4,Yes
361,1626,51,91.6992,1653.92,3.04612,18.0364,1,Yes
362,83,325,808.75,8067.13,13.8766,9.97482,1,Yes
363,1553,1934,96.3991,1725.91,3.26464,17.9038,5,Yes
364,1395,1431,1225.65,7598.81,14.3264,6.19984,5,Yes
365,1867,1728,660.786,5908.88,8.78345,8.9422,5,Yes
366,1688,1751,1256.24,7969.07,10.6877,6.34359,3,Yes
367,855,1941,1857.19,18186.5,24.8628,9.79246,2,Yes
368,1736,1797,146.1,3355.42,4.28713,22.9666,1,Yes
369,1482,1592,1223.75,7811.85,8.37035,6.38354,4,Yes
370,50,1331,635.592,4284.29,4.44087,6.74063,2,Yes
371,1333,1164,264.007,2336.33,4.3686,8.84952,1,Yes
372,1775,1097,571.008,3206.82,3.65614,5.61607,3,Yes
373,1523,1427,68.6995,1066.81,1.75033,15.5286,1,Yes
374,1704,1102,298.309,2882.31,4.31519,9.66215,1,Yes
375,1532,1687,472.22,5074.33,6.57624,10.7457,2,Yes
376,357,1572,1166.76,6920.92,13.5019,5.93173,3,Yes
377,947,1375,685.28,3930.47,6.80689,5.73557,5,Yes
378,1424,1755,254.706,2537.34,4.14329,9.96184,2,Yes
379,1498,418,908.425,7280.32,13.314,8.01422,5,Yes
380,1608,1530,1155.86,9642.06,15.1854,8.34186,1,Yes
381,1363,121,694.278,7085.3,12.909,10.2053,5,Yes
382,1613,1712,1198.75,9367.78,14.148,7.81459,5,Yes
383,408,1704,478.82,4907.06,6.34506,10.2482,4,Yes
384,1368,1754,81.2993,1616.6,2.14316,19.8846,5,Yes
385,899,1494,622.295,2804.39,4.6765,4.50653,3,Yes
386,392,1542,525.019,5004.29,8.07714,9.53164,2,Yes
387,26,1728,2048.55,11573.6,16.2499,5.64964,1,Yes
388,1594,388,1297.03,9876.25,11.1131,7.61451,3,Yes
389,1407,1850,1243.44,10328.3,13.6801,8.30622,2,Yes
390,426,1778,438.318,5950.43,6.2599,13.5756,4,Yes
391,1554,301,720.671,6330.7,10.4967,8.78445,5,Yes
392,1590,1720,1236.35,9355.21,17.7252,7.56683,5,Yes
393,395,421,70.1995,1539.17,2.32788,21.9256,2,Yes
394,1358,1329,187.702,3559.66,6.60818,18.9644,2,Yes
395,1204,1401,2054.85,12835,17.9964,6.24621,2,Yes
396,1574,144,927.621,7174.44,10.3204,7.73424,5,Yes
397,1717,108,1038.39,5827.23,8.61119,5.61177,4,Yes
398,1328,1622,1041.69,7088.01,8.74057,6.80432,2,Yes
399,43,1613,1716.53,12976.9,15.8822,7.55999,2,Yes
400,1754,1488,175.001,3519.62,6.17608,20.1119,2,Yes
401,1607,506,176.002,919.007,1.56605,5.22159,5,Yes
402,1479,1816,1353.82,8797.7,11.9663,6.49845,1,Yes
403,1341,1811,169.601,2282.7,3.9281,13.4592,3,Yes
404,1859,1113,690.478,6752.23,13.0814,9.77906,4,Yes
405,1741,1755,427.617,3257.04,5.30976,7.61672,4,Yes
406,1716,1117,403.815,3252.39,3.48819,8.05415,5,Yes
407,1519,1708,988.906,4926.98,6.98207,4.98225,5,Yes
408,1605,1627,970.11,6349.41,10.4468,6.54504,1,Yes
409,1391,1436,1043.19,4564.45,7.21598,4.37547,4,Yes
410,1798,1611,1181.86,9275.66,16.3528,7.84837,4,Yes
411,1684,316,1211.75,8762.29,13.4494,7.23109,2,Yes
412,1754,1655,152.7,2269.4,2.45254,14.8618,4,Yes
413,1867,96,1111.08,8995.96,12.3775,8.09662,4,Yes
414,1731,19,1309.33,11389.8,16.9169,8.699,2,Yes
415,1695,1312,1115.57,4518.96,8.15411,4.05079,3,Yes
416,1107,1566,2049.15,11209.2,18.9515,5.47019,4,Yes
417,407,1618,662.185,6624.37,10.6581,10.0038,3,Yes
418,1492,672,573.507,2073.01,3.96984,3.61462,5,Yes
